file_id	author	title	volume	birth	death
ewald04val_workid65868	 Johannes Ewald	De brutale klappere. et tragi-comisk forspil, ... (1771)	Samlede skrifter	1743	1781
claussen03val_workid62180	 Sophus Claussen	Nye piger et resultat	Lyrik I	1865	1931
aakjaer02val_workid89634	 Jeppe Aakjær	I er mange - de er faa! (shelley.)	SAMLEDE VÆRKER II	1866	1930
staffeldt01val_workid61264	 Schack von Staffeldt	Til phylllis	Samlede digte	1769	1826
kaalund01_workid55495	 H. V. Kaalund	Til adam oehlenschläger.	SAMLEDE DIGTE	1818	1885
wintherchr02val_workid58385	 Christian Winther	Henrik og else	Poetiske Skrifter 2	1796	1876
munp2_workid68754	 Gustaf Munch-Petersen	Se -!	samlede skrifter II	1912	1938
blich06_workid81365	 Steen Steensen Blicher	Sneklokken	Udvalgte Værker	1782	1848
kingo04val_workid59494	 Thomas Kingo	Af høyheden oprunden er	Samlede Skrifter 4	1634	1703
plough01_workid64080	 Carl Ploug	Til johan christian drewsen	SAMLEDE DIGTE	1813	1894
stuckenberg02_workid88713	 Viggo Stuckenberg	Til min gudsøn	SAMLEDE VÆRKER	1863	1905
hertz09_lev_workid57149	 Henrik Hertz	Hymne	Digte fra forskjellige Perioder	1798	1870
hcaeventyr02val_workid62191	 Hans Christian Andersen	Nye eventyr. første bind. anden samling. 1845.	Eventyr II	1805	1875
bording01val_workid121005	 Anders Bording	O wrede sind ô haarde steen	Digte	1619	1677
blich06_workid79689	 Steen Steensen Blicher	Til glæden	Udvalgte Værker	1782	1848
oehl01val_workid75421	 Adam Oehlenschläger	Aften-sang	POETISKE SKRIFTER I	1779	1850
grundtvig11val_workid59087	 N.F.S. Grundtvig	Som den gyldne soel udbryder	SAMLET UDGAVE	1783	1872
kaalund01_workid76850	 H. V. Kaalund	Hanen.	SAMLEDE DIGTE	1818	1885
grundtvig11val_workid100714	 N.F.S. Grundtvig	Ved kundskabs-træet, uretviis	SAMLET UDGAVE	1783	1872
aarestrup07val_workid71487	 Emil Aarestrup	Umuligheden (dk)	Udvalgte digte	1800	1856
brorson02val_workid129745	 Hans Adolph Brorson	Du arme støv og jord, hvad bilder du dig ind	Samlede skrifter	1694	1764
richardt01_workid60165	 Christian Richardt	Stambogsblad.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
boedtcher01_workid89778	 Ludvig Bødtcher	Med en juleengel	SAMLEDE DIGTE	1793	1874
claussen07val_workid63580	 Sophus Claussen	Skumring	Lyrik V	1865	1931
aare01val_workid56601	 Emil Aarestrup	Da vinduet var frosset.	Samlede Skrifter I	1800	1856
larsenthfiredigt_workid63764	 Thøger Larsen	Vaardagen	Fire digtsamlinger 1904-1912	1875	1928
aakjaer01val_workid100074	 Jeppe Aakjær	Bossen	SAMLEDE VÆRKER I	1866	1930
plough01_workid104183	 Carl Ploug	Cordouan	SAMLEDE DIGTE	1813	1894
moeller01val_workid63968	 Poul Martin Møller	Længsel	SKRIFTER I UDVALG	1794	1838
heibergpa01val_workid125462	 Peter Andreas Heiberg	Vise den 14. juni 1794	Udvalgte Skrifter	1758	1841
drachmann01_workid62041	 Holger Drachmann	Menuetto	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
hcaeventyr02val_workid105654	 Hans Christian Andersen	Pengegrisen.	Eventyr II	1805	1875
stuckenberg01_workid54261	 Viggo Stuckenberg	I gennembrud	SAMLEDE VÆRKER	1863	1905
stub01val_workid69696	 Ambrosius Stub	Hver tiime er forgyldt	Digte	1705	1758
munp2_workid56769	 Gustaf Munch-Petersen	Modest love-tune	samlede skrifter II	1912	1938
oehl01val_workid62679	 Adam Oehlenschläger	Grundlovsfest	POETISKE SKRIFTER I	1779	1850
skjold_03_workid56598	 Johan Skjoldborg	Grundlovssang	DYNÆS DIGTE	1861	1936
grundtvig12val_workid61860	 N.F.S. Grundtvig	Sara var død, i sin eenlighed	SAMLET UDGAVE	1783	1872
heibergpa01val_workid122731	 Peter Andreas Heiberg	Vise. 1791	Udvalgte Skrifter	1758	1841
drachmann01_workid95040	 Holger Drachmann	Med høj horisont	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
michs_11_workid61260	 Sophus Michaëlis	Edvard rudolf neovius	ROMERSK FORAAR	1865	1932
baggesen02val_workid68493	 Jens Baggesen	Postscriptet i aar til brevet i fjor	Riimbreve og Epistler	1764	1826
blich07_workid88125	 Steen Steensen Blicher	Sammenligning mellem collegial- og ministerial-bestyrelse	Udvalgte Værker	1782	1848
