Fil;Mediatyp;Författare;Verk;Utgiven;Införd;Sidor;file_id
lb11779.xml;etext;Selma Lagerlöf;Mårbacka;1922;2013-10-10;sidor;lb11779_136.txt
lb8203277.xml;etext;August Strindberg, Rune Helleday;Samlade Verk 57. Svarta fanor;1995;2007-09-21;sidor;lb8203277_1632.txt
lb99904001.xml;etext;Martina von Schwerin d. y.;Småsaker af en nybegynnare 1;1836;2009-04-08;sidor;lb99904001_1829.txt
lb448242.xml;etext;Jacobus Petri Rondeletius;Judas Redivivus, Thet är: En christeligh Tragicocomædia;1871;2014-10-20;sidor;lb448242_1450.txt
lb9481327.xml;faksimil;Jacob Wallenberg, Ingemar Rådberg;Samlade skrifter III [2004];2004;2015-03-07;sidor;lb9481327_1758.txt
lb114786.xml;faksimil;Hedvig Charlotta Nordenflycht;Samlade skrifter II;1927;2011-08-01;sidor;lb114786_100.txt
lb1563136.xml;faksimil;August Quennerstedt;Karolinska krigares dagböcker. VIII;1913;2017-02-27;sidor;lb1563136_358.txt
lb135588.xml;faksimil;Carl Gustaf af Leopold, Olle Holmberg, Åke-Hugo Hanson;Samlade skrifter II:3;1970;2011-09-05;sidor;lb135588_257.txt
lb1537770.xml;faksimil;Fredrika Bremer;Lif i Norden;1848;2017-08-28;sidor;lb1537770_329.txt
lb3118900.xml;etext;Karl August Tavaststjerna;För morgonbris;1883;2009-10-22;sidor;lb3118900_1390.txt
lb7644641.xml;etext;Clas Livijn, Börje Räftegård;Spader Dame och novellen Samvetets fantasi;1997;2013-01-26;sidor;lb7644641_1574.txt
lb1601984.xml;etext;Emilie Flygare-Carlén;Kerstin Marias fästegåfva;1880;2013-11-19;sidor;lb1601984_407.txt
lb1282242.xml;etext;Gustaf af Geijerstam;Fattigt folk II;1889;2009-09-17;sidor;lb1282242_213.txt
lb1626620.xml;faksimil;August Strindberg;Tryckt och otryckt. I [1890];1890;2017-01-30;sidor;lb1626620_468.txt
lb99909018.xml;faksimil;August Strindberg, Conny Svensson;Samlade Verk 18. Kvarstadsresan. Textkritisk kommentar;2016;2016-06-18;sidor;lb99909018_1939.txt
lb1362123.xml;etext;Karin Boye;Ur funktion;1940;2012-01-19;sidor;lb1362123_263.txt
lb7759011.xml;faksimil;Anonym, Sven Blomgren;Den helige biskop Brynolfs av Skara levnad jämte hans kanonisationsprocess;1998;2016-09-06;sidor;lb7759011_1593.txt
lb114765.xml;faksimil;Johan Henrik Kellgren, Sverker Ek, Allan Sjöding, Otto Sylwan;Samlade skrifter III;1941–1942;2011-09-05;sidor;lb114765_87.txt
lb8420012.xml;faksimil;Johan Ludvig Runeberg, Bernt Olsson, Barbro Nilsson, Krister Nordberg;Samlade skrifter XVI;2002;2011-08-13;sidor;lb8420012_1706.txt
lb114805.xml;faksimil;Thomas Thorild, Stellan Arvidsson;Samlade skrifter III;1944;2011-08-05;sidor;lb114805_112.txt
lb7752.xml;faksimil;Johan Runius, Erik Noreen;Samlade skrifter II;1934;2011-08-03;sidor;lb7752_1587.txt
lb22168.xml;etext;Victoria Benedictsson;Från Skåne;1884;2008-04-24;sidor;lb22168_729.txt
